name|title|year|rank|releasedate|agg_genres
Keaton, Michael|Mr. Mom (1983)|1983|6.4 |1983-08-19|Comedy;Drama
Norris, Chuck|The Delta Force (1986)|1986|5.5 |1986-02-14|Action;Adventure;Drama;Thriller;War
Perry, Tyler (I)|Alex Cross (2012)|2012|5.1 |2012-10-19|Action;Crime;Mystery;Thriller
Witherspoon, Reese|How Do You Know (2010)|2010|5.3 |2010-12-17|Comedy;Drama;Romance
Hill, Terence (I)|I due superpiedi quasi piatti (1977)|1977|7.2 |1979-06-01|Action;Adventure;Comedy;Crime
Myers, Mike (I)|Shrek 4-D (2003)|2003|6.5 |2009-09-01|Animation;Comedy;Family;Fantasy;Short
Fahey, Jeff|The Underground (1997)|1997|4.5 |1997-10-28|Action;Crime;Drama
Reeves, Keanu|Feeling Minnesota (1996)|1996|5.4 |1996-09-13|Comedy;Crime;Drama;Romance
Ford, Harrison (I)|Hollywood Homicide (2003)|2003|5.3 |2003-06-13|Action;Comedy;Crime;Thriller
Smith, Will (I)|I Am Legend (2007)|2007|7.2 |2007-12-14|Drama;Sci-Fi;Thriller
Murphy, Eddie (I)|Beverly Hills Cop III (1994)|1994|5.5 |1994-05-25|Action;Comedy;Crime;Thriller
Falk, Peter (I)|Happy New Year (1987)|1987|6.0 |1987-08-07|Comedy;Crime;Romance
Moore, Dudley|Santa Claus (1985)|1985|5.9 |1985-11-27|Adventure;Family;Fantasy
Norris, Chuck|Missing in Action (1984)|1984|5.3 |1984-11-16|Action;Adventure;Drama;Thriller;War
Matthau, Walter|Plaza Suite (1971)|1971|6.6 |1971-05-12|Comedy;Drama
Bale, Christian|The Dark Knight (2008)|2008|9.  |2008-07-18|Action;Crime;Drama
Cage, Nicolas|Season of the Witch (2011)|2011|5.4 |2011-01-07|Action;Adventure;Fantasy
Ameche, Don|Things Change (1988)|1988|7.0 |1988-10-21|Comedy;Crime;Drama
Stewart, Patrick (I)|Star Trek: First Contact (1996)|1996|7.6 |1996-11-22|Action;Adventure;Sci-Fi;Thriller
Kilmer, Val|The Prince of Egypt (1998)|1998|7.0 |1998-12-18|Adventure;Animation;Biography;Drama;Family;Musical
Murphy, Eddie (I)|Doctor Dolittle (1998)|1998|5.3 |1998-06-26|Comedy;Family;Fantasy
Cage, Nicolas|Fire Birds (1990)|1990|4.6 |1990-05-25|Action;Adventure
Storch, Larry|Hippydrome Tiger (1968)|1968|4.9 |1968-03-30|Animation;Comedy;Family;Short
Lawrence, Martin (I)|Welcome Home, Roscoe Jenkins (2008)|2008|5.2 |2008-02-08|Comedy;Romance
