name|title|year|rank|releasedate|agg_genres
Midler, Bette|That Old Feeling (1997)|1997|6.1 |1997-04-04|Comedy;Romance
Depp, Johnny|The Rum Diary (2011)|2011|6.2 |2011-10-28|Comedy;Drama
LaBeouf, Shia|Lawless (2012)|2012|7.3 |2012-08-29|Crime;Drama
Johnson, Dwayne (I)|Hercules (2014/I)|2014|6.1 |2014-07-25|Action;Adventure
Douglas, Michael (I)|A Perfect Murder (1998)|1998|6.5 |1998-06-05|Crime;Drama;Thriller
De Niro, Robert|The Family (2013/I)|2013|6.3 |2013-09-13|Comedy;Crime;Thriller
Fonda, Peter (I)|The Trip (1967/II)|1967|6.1 |1967-08-23|Drama
Reeves, Keanu|Bill & Ted's Bogus Journey (1991)|1991|6.2 |1991-07-19|Adventure;Comedy;Fantasy;Sci-Fi
Saxon, John|Apocalypse domani (1980)|1980|5.7 |1982-08-09|Horror;Thriller
Matthau, Walter|Movers & Shakers (1985)|1985|4.3 |1985-05-03|Comedy
Banderas, Antonio|Two Much (1995)|1995|5.3 |1996-03-15|Comedy;Romance
Lee, Bruce (I)|Jing wu men (1972)|1972|7.4 |1972-09-09|Action;Drama;Romance;Thriller
Myers, Mike (I)|Austin Powers: The Spy Who Shagged Me (1999)|1999|6.6 |1999-06-11|Action;Adventure;Comedy;Crime;Sci-Fi
Witherspoon, Reese|Just Like Heaven (2005)|2005|6.7 |2005-09-16|Comedy;Fantasy;Romance
Heston, Charlton (I)|Peer Gynt (1941)|1941|6.5 |1941-08-25|Adventure
McDowall, Roddy|The Steel Fist (1952)|1952|5.7 |1952-01-06|Drama
Coburn, James (I)|Our Man Flint (1966)|1966|6.5 |1966-01-16|Action;Adventure;Comedy;Fantasy;Sci-Fi
Brosnan, Pierce|How to Make Love Like an Englishman (2014)|2014|5.8 |2015-08-21|Comedy;Romance
Perlman, Ron (I)|La cité des enfants perdus (1995)|1995|7.7 |1995-12-15|Fantasy;Sci-Fi
Williams, Robin (I)|Mrs. Doubtfire (1993)|1993|6.9 |1993-11-24|Comedy;Drama;Family
Taylor, Veronica (I)|Poketto monsutâ: Serebî - Toki wo koeta deai (2001)|2001|5.4 |2002-10-11|Action;Adventure;Animation;Family
Matsumoto, Rica|Poketto monsutâ: Serebî - Toki wo koeta deai (2001)|2001|5.4 |2002-10-11|Action;Adventure;Animation;Family
Neeson, Liam|The Grey (2011)|2011|6.8 |2012-01-27|Action;Adventure;Drama;Thriller
Willis, Bruce|Alpha Dog (2006)|2006|6.9 |2007-01-12|Biography;Crime;Drama
Lee, Christopher (I)|Rasputin: The Mad Monk (1966)|1966|6.3 |1966-04-06|Biography;Drama
Seagal, Steven|Fire Down Below (1997)|1997|4.9 |1997-09-05|Action;Drama;Thriller
Atsumi, Kiyoshi|Bwana Toshi no uta (1967)|1967|4.8 |1967-06-01|Drama
Singer, Marc (I)|Life at the Resort (2011)|2011|5.6 |2011-12-01|Comedy
Jones, Tommy Lee|The Missing (2003/I)|2003|6.5 |2003-11-26|Adventure;Thriller;Western
Black, Jack (I)|The School of Rock (2003)|2003|7.1 |2003-10-03|Comedy;Music
Stockwell, John (I)|City Limits (1984)|1984|2.1 |1985-09-01|Action;Drama;Sci-Fi
Broderick, Matthew (I)|Infinity (1996)|1996|6.1 |1996-10-04|Biography;Drama
Mitchell, Cameron (I)|Texas Lightning (1981)|1981|4.7 |1981-06-01|Action;Drama
Midler, Bette|The Rose (1979)|1979|6.9 |1979-11-07|Drama;Music;Romance
Chan, Jackie (I)|Ging chat goo si 3: Chiu kup ging chat (1992)|1992|6.9 |1996-07-26|Action;Comedy;Crime;Thriller
Fox, Michael J. (I)|Stuart Little (1999)|1999|5.9 |1999-12-17|Adventure;Animation;Comedy;Family;Fantasy
Butler, Gerard|Olympus Has Fallen (2013)|2013|6.5 |2013-03-22|Action;Thriller
Gooding Jr., Cuba|Radio (2003)|2003|6.9 |2003-10-24|Biography;Drama;Sport
Reynolds, Burt (I)|Sharky's Machine (1981)|1981|6.3 |1981-12-18|Action;Crime;Drama;Thriller
Barrymore, Drew|Never Been Kissed (1999)|1999|6.0 |1999-04-09|Comedy;Drama;Romance
Fahey, Jeff|Lethal Tender (1997)|1997|4.3 |1997-03-14|Action;Thriller
Cage, Nicolas|Knowing (2009)|2009|6.2 |2009-03-20|Action;Drama;Mystery;Sci-Fi;Thriller
Travolta, John (I)|Chains of Gold (1991)|1991|5.0 |1991-09-15|Action;Crime;Drama;Thriller
Paltrow, Gwyneth|View from the Top (2003)|2003|5.2 |2003-03-21|Comedy;Romance
Depp, Johnny|What's Eating Gilbert Grape (1993)|1993|7.8 |1994-03-04|Drama
Lawrence, Martin (I)|National Security (2003)|2003|5.5 |2003-01-17|Action;Comedy;Crime;Thriller
Clooney, George|Sand and Sorrow (2007)|2007|6.9 |2007-12-01|Documentary
Bachchan, Amitabh|Khakee (2004)|2004|7.5 |2004-01-23|Action;Drama
Hoffman, Dustin|Sphere (1998)|1998|6.0 |1998-02-13|Drama;Mystery;Sci-Fi;Thriller
Cage, Nicolas|The Sorcerer's Apprentice (2010)|2010|6.1 |2010-07-14|Action;Adventure;Comedy;Drama;Fantasy
O'Neal, Ryan (I)|Partners (1982)|1982|4.9 |1982-04-30|Comedy;Crime
Crowe, Russell|Gladiator (2000)|2000|8.5 |2000-05-05|Action;Drama
Cusack, John (I)|Tapeheads (1988)|1988|5.8 |1988-10-21|Comedy;Music
Black, Jack (I)|D Tour: A Tenacious Documentary (2008)|2008|8.3 |2009-01-01|Documentary;Music
Cusack, John (I)|2012 (2009/I)|2009|5.8 |2009-11-13|Action;Adventure;Sci-Fi
Slater, Christian (I)|Alone in the Dark (2005)|2005|2.3 |2005-01-28|Horror;Sci-Fi
Connery, Sean|Robin and Marian (1976)|1976|6.6 |1976-03-12|Adventure;Drama;Romance
Carell, Steve|Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)|2014|6.2 |2014-10-10|Comedy;Family
O'Keeffe, Miles|Iron Warrior (1987)|1987|2.2 |1987-01-09|Action;Adventure;Drama;Fantasy;Romance
Russell, Kurt (I)|The Barefoot Executive (1971)|1971|5.9 |1971-03-17|Comedy;Family
Nolte, Nick|Jefferson in Paris (1995)|1995|5.7 |1995-03-31|Biography;Drama;History;Romance
Ameche, Don|Happy Land (1943)|1943|6.5 |1943-11-10|Drama;Romance;War
Mitchell, Cameron (I)|Raw Force (1982)|1982|5.6 |1982-07-01|Action;Adventure;Comedy;Horror
Caine, Michael (I)|Get Carter (1971)|1971|7.5 |1971-03-18|Crime;Thriller
Jones, Tommy Lee|The Three Burials of Melquiades Estrada (2005)|2005|7.5 |2006-02-24|Adventure;Crime;Drama;Mystery;Western
York, Michael (I)|Un delitto poco comune (1988)|1988|5.4 |1988-12-01|Horror;Thriller
Belushi, James|Traces of Red (1992)|1992|5.1 |1992-11-11|Crime;Drama;Mystery;Thriller
Garner, James (I)|36 Hours (1964)|1964|7.3 |1965-02-19|Thriller;War
Jackson, Samuel L.|The 51st State (2001)|2001|6.3 |2002-10-18|Action;Comedy;Crime;Thriller
Caan, James (I)|Slither (1973)|1973|6.2 |1973-03-07|Comedy;Crime;Thriller
Moore, Roger (I)|The Naked Face (1984)|1984|5.3 |1984-06-01|Action;Mystery;Thriller
Williams, Robin (I)|Jakob the Liar (1999)|1999|6.5 |1999-09-24|Comedy;Drama;War
Roberts, Julia (I)|The Ant Bully (2006)|2006|5.9 |2006-07-28|Adventure;Animation;Comedy;Family;Fantasy
Atsumi, Kiyoshi|Otoko wa tsurai yo: Funto hen (1971)|1971|6.8 |1975-06-25|Comedy
Reynolds, Ryan (I)|Van Wilder (2002)|2002|6.4 |2002-04-05|Comedy;Romance
Dempsey, Patrick (I)|Made of Honor (2008)|2008|5.8 |2008-05-02|Comedy;Romance
Wallace, Dee (II)|Shadow Play (1986)|1986|5.2 |1986-09-20|Mystery
Eastwood, Clint|The Dead Pool (1988)|1988|6.3 |1988-07-13|Action;Crime;Mystery;Thriller
Nicholson, Jack (I)|Professione: reporter (1975)|1975|7.7 |1975-04-09|Drama;Thriller
El Gamal, Amin|The Strange Case of Salman abd al Haqq (2007)|2007|8.5 |2008-07-28|Action;Short
Field, Sally|Steel Magnolias (1989)|1989|7.2 |1989-11-22|Comedy;Drama;Romance
Clooney, George|Up in the Air (2009/I)|2009|7.5 |2009-12-23|Drama;Romance
Reeves, Keanu|Constantine (2005)|2005|6.9 |2005-02-18|Drama;Fantasy;Horror
Reynolds, Burt (I)|Smokey and the Bandit II (1980)|1980|5.1 |1980-08-15|Action;Comedy
Chambers, Marilyn (I)|Together (1971)|1971|6.1 |1971-12-01|Drama
Kline, Kevin (I)|The Road to El Dorado (2000)|2000|6.9 |2000-03-31|Adventure;Animation;Comedy;Family;Romance
Reeves, Keanu|A Walk in the Clouds (1995)|1995|6.6 |1995-08-11|Drama;Romance
Craig, Daniel (I)|Dream House (2011)|2011|5.9 |2011-09-30|Drama;Mystery;Thriller
Aykroyd, Dan|My Girl (1991)|1991|6.8 |1991-11-27|Comedy;Drama;Family
Gooding Jr., Cuba|Absolute Deception (2013)|2013|4.1 |2013-07-17|Action
Costner, Kevin|Dragonfly (2002)|2002|6.0 |2002-02-22|Drama;Fantasy;Mystery;Romance;Thriller
Price, Vincent (I)|Master of the World (1961)|1961|5.9 |1961-05-01|Adventure;Sci-Fi
Caan, James (I)|Countdown (1967)|1967|6.1 |1968-02-01|Sci-Fi;Thriller
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro ajisai no koi (1982)|1982|7.6 |1982-12-24|Comedy
Streisand, Barbra (I)|On a Clear Day You Can See Forever (1970)|1970|6.7 |1970-06-17|Comedy;Drama;Fantasy;Musical;Romance
Sandler, Adam (I)|Grown Ups (2010)|2010|6.0 |2010-06-25|Comedy
Williamson, Fred|Adiós Amigo (1976)|1976|4.1 |1976-01-01|Comedy;Western
Arkin, Alan|Indian Summer (1993)|1993|6.4 |1993-04-23|Comedy;Drama;Romance
Moore, Dudley|Crazy People (1990)|1990|5.8 |1990-04-13|Comedy
Goldberg, Whoopi|Sister Act 2: Back in the Habit (1993)|1993|5.3 |1993-12-10|Comedy;Music
Chiang, David|Ba dao lou zi (1976)|1976|6.9 |1976-08-01|Action;Drama;War
Trejo, Danny|L.A. Slasher (2015)|2015|6.7 |2015-06-26|Comedy;Crime;Fantasy;Horror;Thriller
Roberts, Eric (I)|L.A. Slasher (2015)|2015|6.7 |2015-06-26|Comedy;Crime;Fantasy;Horror;Thriller
LaBeouf, Shia|Transformers: Dark of the Moon (2011)|2011|6.3 |2011-06-29|Action;Adventure;Sci-Fi
Aykroyd, Dan|Loose Cannons (1990)|1990|4.7 |1990-02-09|Action;Comedy;Crime;Thriller
Chambers, Marilyn (I)|Insatiable (1980)|1980|6.6 |1980-09-24|Adult;Drama
Weller, Peter (I)|Of Unknown Origin (1983)|1983|6.2 |1983-11-24|Horror
Stallone, Sylvester|Rambo: First Blood Part II (1985)|1985|6.4 |1985-05-22|Action;Adventure;Thriller;War
Quaid, Dennis|Enemy Mine (1985)|1985|6.9 |1985-12-20|Action;Adventure;Drama;Sci-Fi
Nicholson, Jack (I)|Ironweed (1987)|1987|6.8 |1988-02-01|Drama
Gyllenhaal, Jake|Rendition (2007)|2007|6.8 |2007-10-19|Drama;Thriller
Gibson, Mel (I)|Ransom (1996)|1996|6.6 |1996-11-08|Crime;Thriller
Garner, James (I)|The Hidden Dimension (1997)|1997|5.5 |1997-05-09|Documentary;Short
Reynolds, Ryan (I)|The Voices (2014)|2014|6.3 |2015-02-06|Comedy;Crime;Horror;Thriller
Keaton, Michael|One Good Cop (1991)|1991|5.8 |1991-05-03|Action;Crime;Drama;Thriller
Witherspoon, Reese|Water for Elephants (2011)|2011|7.0 |2011-04-22|Drama;Romance
Lawrence, Martin (I)|A Thin Line Between Love and Hate (1996)|1996|5.5 |1996-04-03|Comedy;Crime;Drama;Romance;Thriller
Russell, Kurt (I)|Captain Ron (1992)|1992|5.6 |1992-09-18|Adventure;Comedy
Mitchell, Cameron (I)|The Toolbox Murders (1978)|1978|5.2 |1978-03-01|Drama;Horror;Thriller
Streep, Meryl|Death Becomes Her (1992)|1992|6.4 |1992-07-31|Comedy;Fantasy
Ferrell, Will (I)|Anchorman: The Legend of Ron Burgundy (2004)|2004|7.3 |2004-07-09|Comedy
Allen, Woody|Broadway Danny Rose (1984)|1984|7.5 |1984-01-27|Comedy
Dempsey, Patrick (I)|In the Mood (1987)|1987|6.1 |1987-09-16|Comedy;Romance
Guttenberg, Steve|Police Academy 3: Back in Training (1986)|1986|5.1 |1986-03-21|Comedy;Crime
Gooding Jr., Cuba|Freedom (2014/II)|2014|5.2 |2015-06-05|Drama;Family;Music
Bridges, Jeff (I)|Seventh Son (2014/I)|2014|5.5 |2015-02-06|Action;Adventure;Fantasy
Reeves, Keanu|The Day the Earth Stood Still (2008)|2008|5.5 |2008-12-12|Drama;Sci-Fi;Thriller
Roberts, Julia (I)|Notting Hill (1999)|1999|7.0 |1999-05-28|Comedy;Drama;Romance
Statham, Jason|The Transporter (2002)|2002|6.8 |2002-10-11|Action;Crime;Thriller
Damon, Matt|Rounders (1998)|1998|7,4 |1998-09-11|Crime;Drama
Pryor, Richard|Richard Pryor: Live in Concert (1979)|1979|8,3 |1979-01-01|Comedy;Documentary
Hanks, Tom|Nothing in Common (1986)|1986|5,9 |1986-07-30|Comedy;Drama;Romance
Beatty, Warren (I)|Dick Tracy (1990)|1990|6,1 |1990-06-15|Action;Comedy;Crime;Romance;Thriller
Stallone, Sylvester|Nighthawks (1981)|1981|6,4 |1981-04-04|Action;Crime;Thriller
Streep, Meryl|Julie & Julia (2009)|2009|7,0 |2009-08-07|Biography;Drama;Romance
Weaver, Sigourney|Copycat (1995)|1995|6,6 |1995-10-27|Crime;Drama;Mystery;Thriller
Keaton, Michael|Johnny Dangerously (1984)|1984|6,4 |1984-12-21|Action;Comedy;Crime;Thriller
Coburn, James (I)|Ben Johnson: Third Cowboy on the Right (1996)|1996|6,9 |1996-09-01|Documentary
Goldberg, Whoopi|Eddie (1996)|1996|5,0 |1996-05-31|Comedy;Sport
MacLaine, Shirley|The Evening Star (1996)|1996|5,8 |1996-12-25|Comedy;Drama
Railsback, Steve|Turkey Shoot (1982)|1982|5,9 |1983-10-01|Drama;Horror;Sci-Fi;Thriller
Caan, James (I)|Alien Nation (1988)|1988|6,3 |1988-10-07|Action;Crime;Sci-Fi
Schwarzenegger, Arnold|End of Days (1999)|1999|5,7 |1999-11-24|Action;Fantasy;Horror;Mystery
Caine, Michael (I)|A Shock to the System (1990)|1990|6,7 |1990-03-23|Comedy;Crime;Thriller
Bridges, Jeff (I)|Hearts of the West (1975)|1975|6,4 |1975-10-08|Comedy;Western
Quaid, Dennis|Pandorum (2009)|2009|6,8 |2009-09-25|Action;Horror;Mystery;Sci-Fi;Thriller
Marin, Cheech|Still Smokin (1983)|1983|5,6 |1983-05-06|Comedy;Music
Theron, Charlize|Dark Places (2015)|2015|6,3 |2015-08-07|Drama;Mystery;Thriller
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro no kokuhaku (1991)|1991|6,7 |1992-03-01|Comedy;Drama
Lee, Christopher (I)|The Devil-Ship Pirates (1964)|1964|6,1 |1964-05-01|Action;Adventure;Thriller
Wahl, Ken|Omega Syndrome (1986)|1986|4,2 |1987-01-23|Action;Drama
Costner, Kevin|Message in a Bottle (1999)|1999|6,1 |1999-02-12|Drama;Romance
Evans, Chris (V)|TMNT (2007)|2007|6,3 |2007-03-23|Action;Adventure;Animation;Comedy;Family;Fantasy;Sci-Fi
Aiello, Danny|Brooklyn Lobster (2005)|2005|6,4 |2005-11-04|Comedy;Drama
Banderas, Antonio|Once Upon a Time in Mexico (2003)|2003|6,4 |2003-09-12|Action;Thriller
MacLaine, Shirley|Madame Sousatzka (1988)|1988|6,6 |1988-10-14|Drama;Music
Connery, Sean|The League of Extraordinary Gentlemen (2003)|2003|5,8 |2003-07-11|Action;Adventure;Fantasy;Sci-Fi
Cusack, John (I)|Drive Hard (2014)|2014|4,3 |2014-10-03|Action;Comedy;Crime
Stewart, Patrick (I)|Match (2014/I)|2014|6,4 |2015-01-14|Comedy;Drama;Music
Chow, Yun-Fat|Dip huet seung hung (1989)|1989|7,9 |1990-09-01|Action;Crime;Drama;Thriller
Sandler, Adam (I)|Big Daddy (1999)|1999|6,4 |1999-06-25|Comedy;Drama
Midler, Bette|Isn't She Great (2000)|2000|5,3 |2000-01-28|Biography;Comedy;Romance
Willis, Bruce|16 Blocks (2006)|2006|6,6 |2006-03-03|Action;Crime;Drama;Thriller
Swayze, Patrick|Ghost (1990)|1990|7,0 |1990-07-13|Drama;Fantasy;Romance;Thriller
Chow, Yun-Fat|Bulletproof Monk (2003)|2003|5,5 |2003-04-16|Action;Comedy;Fantasy
Jackman, Hugh|Prisoners (2013)|2013|8,1 |2013-09-20|Crime;Drama;Mystery;Thriller
Yamadera, Kôichi|Cowboy Bebop: Tengoku no tobira (2001)|2001|7,9 |2003-05-16|Action;Animation;Crime;Drama;Sci-Fi;Thriller
Cusack, John (I)|One Crazy Summer (1986)|1986|6,4 |1986-08-08|Comedy;Romance
Fox, Michael J. (I)|The Frighteners (1996)|1996|7,2 |1996-07-19|Comedy;Horror
Estevez, Emilio|Freejack (1992)|1992|5,3 |1992-01-17|Action;Crime;Sci-Fi;Thriller
Jackson, Samuel L.|Black Snake Moan (2006)|2006|7,0 |2007-03-02|Drama;Music
Nolte, Nick|Teachers (1984)|1984|5,9 |1984-10-05|Comedy;Drama
Cruise, Tom|Minority Report (2002)|2002|7,7 |2002-06-21|Action;Mystery;Sci-Fi;Thriller
Theron, Charlize|Young Adult (2011)|2011|6,3 |2011-12-16|Comedy;Drama
Price, Vincent (I)|The Monster Club (1981)|1981|5,9 |1981-05-27|Comedy;Horror
Bachchan, Amitabh|Piku (2015)|2015|7,8 |2015-05-08|Comedy;Drama
Murphy, Eddie (I)|Eddie Murphy: Raw (1987)|1987|7,6 |1987-12-18|Comedy;Documentary
Reeves, Keanu|Little Buddha (1993)|1993|6,0 |1994-05-25|Drama
Gibson, Mel (I)|The Man Without a Face (1993)|1993|6,7 |1993-08-25|Drama
Martin, Steve (I)|L.A. Story (1991)|1991|6,7 |1991-02-08|Comedy;Drama;Fantasy;Romance
Fraser, Brendan|Furry Vengeance (2010)|2010|3,7 |2010-04-30|Comedy;Family
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro koiuta (1971)|1971|7.4 |1973-04-14|Comedy
DeVito, Danny|The Lorax (2012)|2012|6.5 |2012-03-02|Animation;Comedy;Family;Fantasy
Crystal, Billy|City Slickers II: The Legend of Curly's Gold (1994)|1994|5.4 |1994-06-10|Comedy
Aykroyd, Dan|Twilight Zone: The Movie (1983)|1983|6.5 |1983-06-24|Horror;Sci-Fi
Connery, Sean|The Russia House (1990)|1990|6.1 |1990-12-21|Drama;Romance;Thriller
Roberts, Julia (I)|America's Sweethearts (2001)|2001|5.7 |2001-07-20|Comedy;Romance
Sheen, Charlie|Terminal Velocity (1994)|1994|5.4 |1994-09-23|Action;Comedy;Mystery;Romance;Thriller
Schwarzenegger, Arnold|Sabotage (2014)|2014|5.7 |2014-03-28|Action;Crime;Drama;Thriller
Streep, Meryl|Sophie's Choice (1982)|1982|7.7 |1983-03-04|Drama;Romance
Carrey, Jim|I Love You Phillip Morris (2009)|2009|6.7 |2011-01-07|Biography;Comedy;Crime;Drama;Romance
Eckhart, Aaron|I, Frankenstein (2014)|2014|5.1 |2014-01-24|Action;Fantasy;Sci-Fi
Ford, Harrison (I)|Working Girl (1988)|1988|6.7 |1988-12-21|Comedy;Drama;Romance
Connery, Sean|Der Name der Rose (1986)|1986|7.8 |1986-09-24|Crime;Mystery;Thriller
Perry, Tyler (I)|Madea's Family Reunion (2006)|2006|4.9 |2006-02-24|Comedy;Drama;Romance
Reeves, Keanu|The Devil's Advocate (1997)|1997|7.5 |1997-10-17|Drama;Mystery;Thriller
Stiller, Ben|Envy (2004)|2004|4.8 |2004-04-30|Comedy
Lee, Christopher (I)|The Vengeance of Fu Manchu (1967)|1967|5.3 |1968-01-01|Action;Crime;Drama;Horror
Keaton, Michael|The Paper (1994)|1994|6.5 |1994-03-25|Comedy;Drama
Paltrow, Gwyneth|Country Strong (2010)|2010|6.3 |2011-01-07|Drama;Music
Field, Sally|Not Without My Daughter (1991)|1991|6.1 |1991-01-11|Drama;Thriller
De Niro, Robert|Sam's Song (1969)|1969|3.7 |1979-01-01|Drama
Kidman, Nicole|The Portrait of a Lady (1996)|1996|6.2 |1997-01-17|Drama;Romance
Barrymore, Drew|Fever Pitch (2005)|2005|6.2 |2005-04-08|Comedy;Drama;Romance;Sport
Pearce, Guy (I)|First Snow (2006)|2006|6.3 |2007-03-23|Drama;Thriller
Kumar, Akshay (I)|Singh Is Kinng (2008)|2008|5.4 |2008-08-08|Action;Comedy;Crime;Romance
Pearce, Guy (I)|The Rover (2014)|2014|6.4 |2014-06-20|Crime;Drama
Allen, Tim (I)|Big Trouble (2002)|2002|6.5 |2002-04-05|Comedy;Crime;Thriller
Avalon, Frankie|Fireball 500 (1966)|1966|5.0 |1966-06-07|Action;Comedy;Drama
Sandler, Adam (I)|Reign Over Me (2007)|2007|7.5 |2007-03-23|Drama
Crowe, Russell|Robin Hood (2010)|2010|6.7 |2010-05-14|Action;Adventure;Drama;History
Schwarzenegger, Arnold|Terminator 3: Rise of the Machines (2003)|2003|6.4 |2003-07-02|Action;Sci-Fi
Reeves, Keanu|Chain Reaction (1996)|1996|5.5 |1996-08-02|Action;Drama;Sci-Fi;Thriller
Caine, Michael (I)|The Whistle Blower (1986)|1986|6.2 |1987-07-10|Thriller
Walker, Paul (I)|Air Racers 3D (2012)|2012|6.6 |2012-04-05|Action;Adventure;Documentary;Family;Sport
Wahlberg, Mark (I)|Shooter (2007/I)|2007|7.2 |2007-03-23|Action;Crime;Drama;Mystery;Thriller
Gruner, Olivier|Angel Town (1990)|1990|4.8 |1990-02-23|Action;Drama
Slater, Christian (I)|Kuffs (1992)|1992|5.8 |1992-01-10|Action;Comedy;Crime
Ferrell, Will (I)|Kicking & Screaming (2005)|2005|5.5 |2005-05-13|Comedy;Family;Romance;Sport
Pine, Chris (I)|Star Trek Into Darkness (2013)|2013|7.8 |2013-05-16|Action;Adventure;Sci-Fi
Eastwood, Clint|Magnum Force (1973)|1973|7.2 |1973-12-25|Action;Crime;Mystery;Thriller
Trejo, Danny|Hope Lost (2015)|2015|4.0 |2015-02-01|Drama;Thriller
Damon, Matt|Elysium (2013/I)|2013|6.7 |2013-08-09|Action;Drama;Sci-Fi;Thriller
Roberts, Eric (I)|Cowboys vs Dinosaurs (2015)|2015|3.0 |2015-05-19|Action;Sci-Fi
Nolte, Nick|Blue Chips (1994)|1994|6.0 |1994-02-18|Drama;Sport
Clooney, George|Fantastic Mr. Fox (2009)|2009|7.8 |2009-11-25|Adventure;Animation;Comedy;Crime;Family
Kidman, Nicole|Before I Go to Sleep (2014)|2014|6.3 |2014-10-31|Drama;Mystery;Romance;Thriller
Stiller, Ben|Keeping the Faith (2000)|2000|6.4 |2000-04-14|Comedy;Drama;Romance
Weller, Peter (I)|Fifty/Fifty (1992)|1992|5.7 |1993-02-26|Action;Adventure;Comedy
Santo (III)|Santo contra hombres infernales (1961)|1961|5.1 |1961-01-01|Adventure;Horror
Chase, Chevy|Fletch Lives (1989)|1989|6.0 |1989-03-17|Comedy;Crime;Mystery
Murphy, Eddie (I)|Daddy Day Care (2003)|2003|5.5 |2003-05-09|Comedy;Family
Lee, Bruce (I)|Tang shan da xiong (1971)|1971|7.1 |1981-02-01|Action;Crime;Drama;Thriller
Cage, Nicolas|Dying of the Light (2014)|2014|4.3 |2014-12-05|Drama;Thriller
Roberts, Julia (I)|Eat Pray Love (2010)|2010|5.6 |2010-08-13|Drama;Romance
Willis, Bruce|A Good Day to Die Hard (2013)|2013|5.3 |2013-02-14|Action;Crime;Thriller
Kidman, Nicole|Bewitched (2005)|2005|4.8 |2005-06-24|Comedy;Fantasy;Romance
Hanks, Tom|Toy Story (1995)|1995|8.3 |1995-11-22|Adventure;Animation;Comedy;Family;Fantasy
Martin, Steve (I)|¡Three Amigos! (1986)|1986|6.4 |1986-12-12|Comedy;Western
De Niro, Robert|Guilty by Suspicion (1991)|1991|6.5 |1991-03-15|Drama
Weller, Peter (I)|RoboCop (1987)|1987|7.5 |1987-07-17|Action;Crime;Sci-Fi;Thriller
Conway, Tim (I)|Air Bud: Golden Receiver (1998)|1998|4.4 |1998-08-14|Comedy;Family;Sport
Williams, Robin (I)|Bicentennial Man (1999)|1999|6.8 |1999-12-17|Comedy;Drama;Fantasy;Romance;Sci-Fi
Aykroyd, Dan|Legends of Oz: Dorothy's Return (2013)|2013|5.7 |2014-05-09|Animation;Family;Musical
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro kokoro no tabiji (1989)|1989|6.4 |1989-11-01|Comedy
LaBeouf, Shia|Surf's Up (2007)|2007|6.8 |2007-06-08|Animation;Comedy;Family;Sport
Carrey, Jim|The Mask (1994)|1994|6.8 |1994-07-29|Comedy;Crime;Fantasy
Bullock, Sandra|Murder by Numbers (2002)|2002|6.1 |2002-04-19|Crime;Drama;Thriller
Trejo, Danny|Zombie Hunter (2013)|2013|3.5 |2013-10-08|Action;Comedy;Horror
Carell, Steve|Movie Poster Contract (2011)|2011|8.0 |2011-07-25|Comedy;Short
Culkin, Macaulay|Ri¢hie Ri¢h (1994)|1994|5.2 |1994-12-21|Comedy;Family
Streep, Meryl|She-Devil (1989)|1989|5.4 |1989-12-08|Comedy
Roberts, Eric (I)|Best of the Best (1989)|1989|6.3 |1989-11-10|Action;Drama;Sport;Thriller
Cusack, John (I)|Bullets Over Broadway (1994)|1994|7.5 |1995-01-18|Comedy;Crime
Swayze, Patrick|Tall Tale (1995)|1995|5.8 |1995-03-24|Adventure;Family;Fantasy;Western
Grant, Hugh (I)|The Rewrite (2014)|2014|6.2 |2015-02-13|Comedy;Romance
Norris, Chuck|Delta Force 2: The Colombian Connection (1990)|1990|4.6 |1990-08-24|Action;Adventure;Crime;Thriller;War
Murphy, Eddie (I)|Coming to America (1988)|1988|6.9 |1988-06-29|Comedy;Romance
Fraser, Brendan|The Mummy: Tomb of the Dragon Emperor (2008)|2008|5.2 |2008-08-01|Action;Adventure;Fantasy;Thriller
Bullock, Sandra|The Proposal (2009/I)|2009|6.7 |2009-06-19|Comedy;Drama;Romance
Black, Jack (I)|Year One (2009)|2009|4.9 |2009-06-19|Adventure;Comedy
Crystal, Billy|City Slickers (1991)|1991|6.7 |1991-06-07|Comedy
Allen, Tim (I)|Wild Hogs (2007)|2007|5.9 |2007-03-02|Action;Adventure;Comedy
Williams, Treat|Deep Rising (1998)|1998|6.0 |1998-01-30|Action;Adventure;Horror;Sci-Fi
Walker, Paul (I)|Eight Below (2006)|2006|7.3 |2006-02-17|Adventure;Drama;Family
Schwarzenegger, Arnold|Collateral Damage (2002)|2002|5.4 |2002-02-08|Action;Drama;Thriller
Chase, Chevy|Cops and Robbersons (1994)|1994|4.9 |1994-04-15|Comedy;Crime;Thriller
Carrey, Jim|Mr. Popper's Penguins (2011)|2011|6.0 |2011-06-17|Comedy;Family;Fantasy
Williams, Robin (I)|The Birdcage (1996)|1996|6.9 |1996-03-08|Comedy
Le, Bruce|Si wang mo ta (1978)|1978|6.5 |1980-02-01|Action;Drama
Martin, Steve (I)|The Jerk (1979)|1979|7.2 |1979-12-14|Comedy
Mitchell, Cameron (I)|Nightmare in Wax (1969)|1969|3.3 |1969-05-14|Horror;Mystery;Sci-Fi
