movieid;actorid;as_character
3397003;784708;[Monroe Cole]  <1>
2422389;823008;[Roy Batty]  <2>
2430734;823008;[Palmer]  <1>
2490841;823008;[Keeler]  <50>
2731373;823008;[Maciste]  <3>
2966511;823008;[The Mystic Monk]  <3>
3048700;823008;[Rick]  <1>
3212980;823008;[Sallow]  <1>
3259310;823008;[Benjamin Praagh]  <2>
3391168;823008;[Nick Randall]  <1>
2659863;857699;(as Mario Girotti)  [Benjamin]  <5>
2731081;857699;(as Mario Girotti)  [Babington]  <4>
3029941;857699;[Policeman Dave Speed]  <1>
2682883;926129;(voice)  [Memphis]  <8>
3075975;926129;(voice)  [Bunny]  <5>
3418225;926129;[Logan/Wolverine]  <1>
3418331;926129;[Logan/Wolverine]  <2>
2325070;928640;[Carl Lee Hailey]  <3>
2398427;928640;[West]  <3>
2456259;928640;[Nick Fury]  <2>
2466212;928640;[Doyle Gipson]  <2>
2554344;928640;(as Sam Jackson)  [Mister Señor Love Daddy]  <16>
2638712;928640;[Sam]  <3>
2666668;928640;[Stacks Edwards]  <51>
2770891;928640;[Trip]  <7>
2771722;928640;[Roland]  <5>
2827075;928640;[Abel Turner]  <1>
2905448;928640;[Tat Lawson]  <5>
3051412;928640;(voice)  [Fear]  <3>
3086321;928640;[Col. Terry L. Childers]  <2>
3089762;928640;[Sgt. Dan 'Hondo' Harrelson]  <1>
3106863;928640;[Black Guy]  <19>
3141626;928640;[Neville Flynn]  <1>
3191147;928640;[George Washington Williams]
3244411;928640;[Rev. Fred Sultan]  <1>
3347362;928640;(voice)  [Whiplash]  <4>
3349259;928640;[John Mills]  <2>
3362815;928640;(voice)  [Jack Johnson]  <3>
3436372;928640;[Agent Augustus Eugene Gibbons]  <4>
3425630;928640;(archive footage) (uncredited)  [Himself]
2400472;957951;(as The Rock)  [Elliot Wilhelm]  <13>
2644454;957951;[Hobbs]  <3>
2654709;957951;[Agent 23]  <3>
2694908;957951;[Hercules]  <1>
2844072;957951;(archive footage)  [Himself]
3000034;957951;[Paul Doyle]  <2>
3024619;957951;(voice)  [Captain Charles T. Baker]  <4>
3054759;957951;[Jack Bruno]  <1>
3095735;957951;[Ray]  <1>
3424536;957951;(uncredited)  [Air Marshal]
2426330;969935;[Ryan Gaerity]  <2>
2427053;969935;[Hank Marshall]  <2>
2623368;969935;[Brad Little]  <2>
2740477;969935;[Hank Deerfield]  <1>
2756861;969935;[Coley Blake]  <2>
2905226;969935;[Kay]  <1>
2961035;969935;[Ed Tom Bell]  <1>
3086321;969935;[Col. Hayes 'Hodge' Hodges]  <1>
3152062;969935;[Hawk Hawkins]  <2>
3239228;969935;[Samuel Gerard]  <2>
3276995;969935;[Thomas Boyette]  <3>
3352288;969935;[Chief Deputy Marshal Samuel Gerard]  <1>
2366112;987981;[Annavaram]  <1>
2394123;987981;[Balu/Ghani]  <1>
2395106;987981;[Bangaram/Balram]  <12>
3124098;1001590;[Zatoichi]  <1>
3430019;1001590;[Zatoichi]  <1>
2399175;1007334;[Batman/Bruce Wayne]  <1>
2624215;1007334;[President Mackenzie]  <4>
2914353;1007334;(voice)  [Walter Nelson]  <3>
2932607;1007334;[Doug Kinney]  <1>
2985366;1007334;[Artie Lewis]  <1>
3297505;1007334;[Harry Berg]  <1>
3335406;1007334;[Bobby Barbato]  <1>
2341973;1079880;[Raj Malhotra]  <1>
2361931;1079880;[Raj Malhotra]  <1>
2560727;1079880;[Raj Malhotra]  <1>
2716744;1079880;[Aditya Malhotra]  <1>
2778021;1079880;[Viraj Shergill]  <1>
2932196;1079880;[Sunny]  <2>
3018820;1079880;[Raju]  <1>
2336265;1098608;[Lemieux]  <1>
2671554;1098608;[John Clayton/Tarzan, Lord of the Apes]  <4>
2674874;1098608;[Dani Servigo]  <1>
2698997;1098608;[Connor 'The Highlander' MacLeod/Russell Edwin Nash]  <1>
2856825;1098608;[Devereaux]
2324846;1117978;[Darnell]  <1>
2414571;1117978;[Malcolm Turner]  <1>
2414573;1117978;[Malcolm/Big Momma]  <1>
2554344;1117978;[Cee]  <20>
2967789;1117978;[Terrance Paul Davidson]  <1>
3396786;1117978;[R.J.]  <1>
3425225;1117978;[Himself]  <1>
2441678;1121541;[Peter]  <1>
2507947;1121541;<1>
3128883;1121541;[Chang]  <1>
2664334;1126131;(uncredited)  [Infant]
2765086;1126131;(archive footage)  [Chen Zhen]
2837261;1126131;(archive footage) (uncredited)  [Bruce Lee]
3189423;1126131;[Cheng Chao-an]  <1>
2345908;1126364;[John Preston]  <3>
2346249;1126364;(voice)  [Jabberwocky]  <28>
2387842;1126364;[Slave dealer]
2401119;1126364;[Lechinski]  <4>
2401390;1126364;[Kenny King]  <3>
2457139;1126364;[Sardar Khan]  <4>
2505099;1126364;[Morley]  <2>
2563545;1126364;[Dracula]  <1>
2593758;1126364;[Father Pergado/Zindar]  <1>
2705060;1126364;[Himself]
2714964;1126364;[Stefan Crosscoe]  <1>
2715979;1126364;[Monsieur Labisse]  <7>
2733346;1126364;[Judge Jeffries]  <1>
2733804;1126364;[German officer at dentists]  <17>
2928050;1126364;(uncredited)  [Georges Seurat]
2944196;1126364;[Dracula]  <1>
2970471;1126364;(voice)  [Uncle Drosselmeyer/Street Singer/The Puppeteer/The Watchmaker]  <4>
3091791;1126364;[Count Borgia]  <3>
3107423;1126364;[Cardinal D'Ambroise]  <8>
3138691;1126364;[Burgomaster]  <15>
3161247;1126364;[Captain Rameses]  <2>
3224069;1126364;[Joseph - Military Attaché]  <13>
3224835;1126364;[the Creature/Creature]  <4>
3228338;1126364;[Captain Robeles]  <1>
3248203;1126364;[Saruman]  <20>
3249185;1126364;[Sir Henry]  <3>
3271238;1126364;[The Mummy/Kharis]  <2>
3282605;1126364;[Mycroft Holmes]  <4>
3290448;1126364;[Count Dracula]  <1>
3295038;1126364;[Sir Matthew Phillips]  <17>
3305979;1126364;[Paul Allen]  <3>
3333487;1126364;(uncredited)  [Russian Agent]
2405055;1150444;(as Chung Tao Ho)  <1>
2612509;1150444;(as Chung Tao Ho)
2765086;1150444;(as Chung Tao Ho)  [Chen Shen]  <1>
3122819;1150444;<1>
3122861;1150444;[Tan Lung]
3233618;1150800;[Yin Yang]  <3>
3391247;1150800;[Rogue]  <1>
2513700;1191485;[Det. Jack Caine]  <1>
3063999;1191485;[Lt. Nikolai Rachenko]  <1>
3079860;1191485;(archive footage) (uncredited)  [Captain Ivan Drago]
3161553;1191485;[Andy Spector]  <1>
3233618;1191485;[Gunner Jensen]  <4>
3281333;1191485;(archive footage) (uncredited)  [Andrew Scott]
3391419;1191485;[Captain Hans Picault]
2427916;1364266;[Lloyd Faversham]  <6>
2450954;1364266;(uncredited)  [Roman Soldier]
3154535;1364266;[Chief]  <32>
3201205;1364266;[Himself]
3272062;1364266;[Dr. Judd Stevens]  <1>
3290059;1364266;(voice)  [Car Radio Announcer]  <59>
3294742;1364266;[Paul Wilton]  <3>
2719837;1393404;(archive footage) (uncredited)
2722779;1393404;[Kelly]  <1>
2734990;1393404;[Evan Danielson]  <1>
3127390;1393404;[Officer Trey Sellars]  <3>
3127520;1393404;(voice)  [Donkey]  <2>
3203598;1393404;[Pluto Nash]  <1>
3372455;1393404;[Maximillian/Preacher Pauly/Guido]  <1>
2318135;1418745;[Clinch]  <4>
2326404;1418745;[Matt Scudder]  <1>
2399882;1418745;[Admiral Shane]  <7>
2473777;1418745;[David Stewart]  <2>
2480458;1418745;[Zeus]  <2>
2595637;1418745;[Liam Neeson]  <50>
2605055;1418745;[Gawain]  <11>
2776249;1418745;(voice)  [Mustafa]
2869692;1418745;[Daniel]  <6>
2890410;1418745;(voice)  [Narrator]
2951839;1418745;[Jerome Lovell]  <2>
2955462;1418745;[Briar Gates]  <2>
3077813;1418745;[Rob Roy]  <1>
3202606;1418745;[Hannibal]  <1>
3220088;1418745;(voice)  [Aslan]
3220095;1418745;(voice)  [Aslan]  <39>
3226557;1418745;[Peter Swan]  <3>
3232518;1418745;(voice)  [Himself - Narrator]  <1>
3259083;1418745;(voice)  [Bad Cop/Good Cop/Pa Cop]  <22>
3273489;1418745;[Damon Pennington]  <23>
3312321;1418745;(voice)  [Narrator]  <8>
