movieid;title;year;rank;releasedate
3187329;Take the Lead (2006);2006;6.6 ;2006-04-07
3201817;The 33 (2015);2015;7.1 ;2015-11-13
3350224;Two Much (1995);1995;5.3 ;1996-03-15
2485017;Cold Feet (1989);1989;4.6 ;1989-05-19
2689964;Hearts of the West (1975);1975;6.4 ;1975-10-08
2757363;Jagged Edge (1985);1985;6.4 ;1985-10-04
3146651;Somebody Killed Her Husband (1978);1978;4.9 ;1978-09-29
3257312;The Last Picture Show (1971);1971;8.1 ;1971-10-22
3275652;The Open Road (2009);2009;5.5 ;2009-08-28
3184532;TRON: Legacy (2010);2010;6.8 ;2010-12-17
3344470;True Grit (2010);2010;7.7 ;2010-12-22
2869703;Love Affair (1994);1994;5.8 ;1994-10-21
2930865;Mrs. Doubtfire (1993);1993;6.9 ;1993-11-24
3313923;The World Is Not Enough (1999);1999;6.4 ;1999-11-19
3314205;The World's End (2013);2013;7.0 ;2013-08-23
3331890;Tomorrow Never Dies (1997);1997;6.5 ;1997-12-19
2368402;Any Given Sunday (1999);1999;6.8 ;1999-12-22
2720968;I Escaped from Devil's Island (1973);1973;4.9 ;1973-09-01
2786876;Kid Vengeance (1977);1977;4.8 ;1977-08-01
3140114;Small Soldiers (1998);1998;6.1 ;1998-07-10
3349319;Twisted Justice (1990);1990;3.0 ;1990-03-30
2565460;Dreamworks How to Train Your Dragon Legends (2010);2010;7.6 ;2010-03-01
2648072;Gamer (2009);2009;5.8 ;2009-09-04
2832611;Law Abiding Citizen (2009);2009;7.4 ;2009-10-16
2998369;P.S. I Love You (2007);2007;7.1 ;2007-12-21
3331890;Tomorrow Never Dies (1997);1997;6.5 ;1997-12-19
2308233;A Boy Called Hate (1995);1995;4.9 ;1996-05-22
2346557;Alien Nation (1988);1988;6.3 ;1988-10-07
2910256;Mickey Blue Eyes (1999);1999;5.8 ;1999-08-20
2379097;Astro Boy (2009);2009;6.4 ;2009-10-23
2665298;Gone in Sixty Seconds (2000);2000;6.5 ;2000-06-09
2786647;Kick-Ass (2010);2010;7.7 ;2010-04-16
2793451;Knowing (2009);2009;6.2 ;2009-03-20
2948479;National Treasure (2004);2004;6.9 ;2004-11-19
3311987;The Wicker Man (2006);2006;3.6 ;2006-09-01
3371950;Valley Girl (1983);1983;6.3 ;1983-04-29
3408993;Wild at Heart (1990);1990;7.3 ;1990-08-17
3410452;Windtalkers (2002);2002;6.0 ;2002-06-14
2322695;A Shock to the System (1990);1990;6.7 ;1990-03-23
2472407;Children of Men (2006);2006;7.9 ;2007-01-05
2647675;Gambit (1966);1966;7.1 ;1967-01-07
2741102;Inception (2010);2010;8.  ;2010-07-16
2909333;Mia and Roman (1968);1968;6.9 ;1968-01-01
3138808;Sleuth (1972);1972;8.1 ;1972-12-10
3220171;The Cider House Rules (1999);1999;7.4 ;2000-01-07
3265971;The Man Who Would Be King (1975);1975;7.9 ;1975-12-17
3267053;The Marseille Contract (1974);1974;6.0 ;1974-12-04
3284151;The Quiet American (2002);2002;7.1 ;2003-03-07
3378627;Victory (1981);1981;6.6 ;1981-07-30
3412880;Without a Clue (1988);1988;7.0 ;1988-10-21
2482541;Cloud Dancer (1980);1980;5.4 ;1980-05-01
2525550;Deathsport (1978);1978;3.6 ;1978-04-01
2561632;Double Trouble (1992/I);1992;3.7 ;1992-02-14
2863408;Lone Wolf McQuade (1983);1983;6.3 ;1983-04-15
2945475;Naked Movie (2002);2002;3.8 ;2008-02-24
3050154;Q (1982);1982;6.1 ;1982-10-29
2657602;Ging chaat goo si 4: Ji gaan daan yam mo (1996);1996;6.6 ;1997-01-10
3087783;Rush Hour (1998);1998;6.9 ;1998-09-18
3098061;Sap ji sang ciu (2012);2012;6.2 ;2013-10-18
3113224;Seong lung wui (1992);1992;6.4 ;1999-04-09
2387358;Ba dao lou zi (1976);1976;6.9 ;1976-08-01
3050684;Qing guo qing cheng (1975);1975;7.4 ;1975-09-01
3113224;Seong lung wui (1992);1992;6.4 ;1999-04-09
3120256;Shao Lin ying xiong bang (1979);1979;6.9 ;1982-01-01
2784637;Kenka karate kyokushinken (1977);1977;6.7 ;1977-03-01
2742378;Indra (2002);2002;7.3 ;2002-07-24
2444377;Bulletproof Monk (2003);2003;5.5 ;2003-04-16
3219605;The Children of Huang Shi (2008);2008;7.1 ;2008-06-13
3222993;The Corruptor (1999);1999;6.0 ;1999-03-12
2399128;Batman & Robin (1997);1997;3.6 ;1997-06-20
2748292;Intolerable Cruelty (2003);2003;6.3 ;2003-10-10
2971701;O Brother, Where Art Thou? (2000);2000;7.8 ;2001-02-02
2995733;Out of Sight (1998);1998;7.1 ;1998-06-26
3070900;Return of the Killer Tomatoes! (1988);1988;5.1 ;1988-04-22
3204704;The American (2010);2010;6.3 ;2010-09-01
3270387;The Monuments Men (2014);2014;6.1 ;2014-02-07
3278316;The Peacemaker (1997);1997;5.9 ;1997-09-26
2611942;Family Business (1989);1989;5.6 ;1989-12-15
2772962;Just Cause (1995);1995;6.4 ;1995-02-17
2983381;On the Fiddle (1961);1961;5.7 ;1965-05-21
2983381;On the Fiddle (1961);1961;5.7 ;1965-01-27
3191220;Tarzan's Greatest Adventure (1959);1959;6.5 ;1959-07-08
3236823;The First Great Train Robbery (1978);1978;7.0 ;1979-02-02
3261887;The Longest Day (1962);1962;7.8 ;1962-10-04
3265971;The Man Who Would Be King (1975);1975;7.9 ;1975-12-17
2301846;3 Days to Kill (2014);2014;6.2 ;2014-02-21
2631247;For Love of the Game (1999);1999;6.5 ;1999-09-17
2886776;Malibu Hot Summer (1981);1981;2.4 ;1981-01-01
3181477;Swing Vote (2008);2008;6.1 ;2008-08-01
3213502;The Bodyguard (1992);1992;6.1 ;1992-11-25
2527393;Defiance (2008/I);2008;7.2 ;2009-01-16
2589075;Elizabeth (1998);1998;7.5 ;1999-02-19
2354832;American Gangster (2007);2007;7.8 ;2007-11-02
2690308;Heaven's Burning (1997);1997;5.7 ;1998-04-03
2940849;Mystery, Alaska (1999);1999;6.6 ;1999-10-01
3161678;State of Play (2009);2009;7.1 ;2009-04-17
2348904;All the Right Moves (1983);1983;5.9 ;1983-10-21
2607981;Eyes Wide Shut (1999);1999;7.3 ;1999-07-16
2917443;Mission: Impossible - Ghost Protocol (2011);2011;7.4 ;2011-12-21
3257514;The Last Samurai (2003);2003;7.7 ;2003-12-05
3283878;The Queen (2006);2006;7.4 ;2006-11-17
3333398;Top Gun (1986);1986;6.8 ;1986-05-16
2425851;Bloody Mama (1970);1970;5.6 ;1970-03-24
2593395;Encounter (1965);1965;7.7 ;1965-01-01
2670254;Great Expectations (1998);1998;6.8 ;1998-01-30
2690011;Heat (1995);1995;8.3 ;1995-12-15
2955036;New York, New York (1977);1977;6.7 ;1977-06-21
3082133;Ronin (1998);1998;7.3 ;1998-09-25
3131669;Silver Linings Playbook (2012);2012;7.8 ;2012-12-25
3234710;The Family (2013/I);2013;6.3 ;2013-09-13
3300444;The Swap (1979);1979;3.5 ;1979-10-12
3399853;What Just Happened (2008);2008;5.7 ;2008-10-31
2300632;21 Jump Street (2012);2012;7.2 ;2012-03-16
2407447;Benny & Joon (1993);1993;7.2 ;1993-04-23
2559190;Donnie Brasco (1997);1997;7.8 ;1997-02-28
2569310;Dummies (1985);1985;8.6 ;1985-01-01
3023224;Pirates of the Caribbean: Dead Man's Chest (2006);2006;7.3 ;2006-07-07
3250580;The Imaginarium of Doctor Parnassus (2009);2009;6.9 ;2010-01-08
3274010;The Ninth Gate (1999);1999;6.7 ;2000-03-10
2644469;Furious Seven (2015);2015;7.5 ;2015-04-03
3252359;The Iron Giant (1999);1999;8.0 ;1999-08-06
3250859;The In-Laws (2003/I);2003;5.7 ;2003-05-23
3344801;Trumbo (2007);2007;7.5 ;2008-06-27
2353977;America (1986);1986;4.4 ;1986-10-01
2388420;Baby It's You (1983);1983;6.4 ;1983-03-04
2689377;Heart and Souls (1993);1993;6.9 ;1993-08-13
2706635;Home for the Holidays (1995);1995;6.6 ;1995-11-03
2736783;In Dreams (1999);1999;5.4 ;1999-01-15
3207260;The Avengers (2012);2012;8.2 ;2012-05-04
3396568;Weird Science (1985);1985;6.6 ;1985-08-02
2722433;I Ought to Be in Pictures (1982);1982;6.1 ;1982-03-26
2885369;Making Love (1982);1982;6.8 ;1982-03-05
3076826;River of Death (1989);1989;4.1 ;1989-09-29
2332565;Absolute Power (1997);1997;6.7 ;1997-02-14
2698550;High Plains Drifter (1973);1973;7.6 ;1973-08-22
3404953;White Hunter Black Heart (1990);1990;6.7 ;1990-09-14
2514584;Darkhunters (2004);2004;2.7 ;2004-09-07
2750260;Iron Maze (1991);1991;4.4 ;1991-11-01
2850793;Lethal Tender (1997);1997;4.3 ;1997-03-14
2894300;Marriage Retreat (2011);2011;5.1 ;2011-01-01
3071515;Revelation (1999);1999;5.2 ;1999-05-07
3258051;The Last of the Finest (1990);1990;5.6 ;1990-03-09
3404953;White Hunter Black Heart (1990);1990;6.7 ;1990-09-14
2493891;Copperhead (2013);2013;5.4 ;2013-06-28
2712393;House of Bodies (2014);2014;4.3 ;2014-04-28
3350285;Two People (1973);1973;6.2 ;1973-03-18
2325024;A Time for Killing (1967);1967;5.5 ;1967-11-01
2369449;Apocalypse Now (1979);1979;8.5 ;1979-08-15
2481231;Clear and Present Danger (1994);1994;6.9 ;1994-08-03
2632283;Force 10 from Navarone (1978);1978;6.3 ;1978-12-08
2774828;K-19: The Widowmaker (2002);2002;6.6 ;2002-07-19
3005274;Paranoia (2013/I);2013;5.7 ;2013-08-16
3270701;The Mosquito Coast (1986);1986;6.6 ;1986-11-26
2498164;Crash (2004/I);2004;7.9 ;2005-05-06
2555665;Dogfight (1991);1991;7.5 ;1991-10-04
2653703;George of the Jungle (1997);1997;5.4 ;1997-07-16
3103644;School Ties (1992);1992;6.9 ;1992-09-18
3271239;The Mummy (1999);1999;7.0 ;1999-05-07
3284151;The Quiet American (2002);2002;7.1 ;2003-03-07
2575363;Edge of Darkness (2010);2010;6.6 ;2010-01-29
2850799;Lethal Weapon 2 (1989);1989;7.2 ;1989-07-07
2850801;Lethal Weapon 4 (1998);1998;6.6 ;1998-07-10
2880413;Mad Max Beyond Thunderdome (1985);1985;6.2 ;1985-07-10
2898561;Maverick (1994);1994;7.0 ;1994-05-20
3214261;The Bounty Hunter (1990);1990;4.3 ;1989-08-27
3350911;Two-Minute Warning (1976);1976;6.0 ;1976-11-12
3392086;Warrior of the Lost World (1983);1983;2.2 ;1985-09-01
2354832;American Gangster (2007);2007;7.8 ;2007-11-02
2488141;Coming to America (1988);1988;6.9 ;1988-06-29
2508467;Daddy Day Camp (2007);2007;2.8 ;2007-08-08
3133138;Sing (1989);1989;6.6 ;1989-03-31
3216770;The Butler (2013/I);2013;7.1 ;2013-08-16
2332565;Absolute Power (1997);1997;6.7 ;1997-02-14
2367128;Another Woman (1988);1988;7.4 ;1988-11-18
3211896;The Birdcage (1996);1996;6.9 ;1996-03-08
3218878;The Chamber (1996);1996;5.9 ;1996-10-11
3238929;The French Connection (1971);1971;7.8 ;1971-10-09
3295059;The Sky Divers (1969);1969;6.0 ;1969-01-01
2308373;A Breed Apart (1984);1984;5.3 ;1984-06-01
2910175;Michiel de Ruyter (2015);2015;7.2 ;2015-01-01
3178127;Surviving the Game (1994);1994;6.1 ;1994-04-15
3347570;Turks fruit (1973);1973;7.1 ;1974-09-01
2293956;...altrimenti ci arrabbiamo! (1974);1974;7.4 ;1976-05-01
2366265;Annibale (1959);1959;5.3 ;1960-06-18
2459259;Cartagine in fiamme (1960);1960;5.2 ;1961-01-25
2724027;I due superpiedi quasi piatti (1977);1977;7.2 ;1979-06-01
2731401;Il gattopardo (1963);1963;8.1 ;1963-07-15
2861594;Lo chiamavano Trinità... (1970);1970;7.4 ;1971-11-04
3380284;Villa Borghese (1953);1953;6.3 ;1957-08-12
3061415;Real Steel (2011);2011;7.1 ;2011-10-07
3104665;Scoop (2006);2006;6.7 ;2006-07-28
2296631;1408 (2007);2007;6.8 ;2007-06-22
2322695;A Shock to the System (1990);1990;6.7 ;1990-03-23
2379097;Astro Boy (2009);2009;6.4 ;2009-10-23
2488141;Coming to America (1988);1988;6.9 ;1988-06-29
2526560;Deep Blue Sea (1999);1999;5.8 ;1999-07-28
2543830;Die Hard: With a Vengeance (1995);1995;7.6 ;1995-05-19
2628789;Fluke (1995);1995;6.7 ;1995-06-02
2772106;Jungle Fever (1991);1991;6.5 ;1991-06-07
2985225;One Eight Seven (1997);1997;6.7 ;1997-07-30
2995733;Out of Sight (1998);1998;7.1 ;1998-06-26
3046601;Pulp Fiction (1994);1994;8.  ;1994-10-14
3154473;Sphere (1998);1998;6.0 ;1998-02-13
3168780;Strictly Business (1991);1991;5.3 ;1991-11-08
3181998;Sydney (1996);1996;7.3 ;1997-02-28
3207260;The Avengers (2012);2012;8.2 ;2012-05-04
3265444;The Man (2005);2005;5.5 ;2005-09-09
2644469;Furious Seven (2015);2015;7.5 ;2015-04-03
3030333;Polynesian Power (2005);2005;8.0 ;2005-04-01
2483454;Cobb (1994);1994;6.4 ;1994-12-02
2608001;Eyes of Laura Mars (1978);1978;6.1 ;1978-08-02
3140114;Small Soldiers (1998);1998;6.1 ;1998-07-10
3234710;The Family (2013/I);2013;6.3 ;2013-09-13
3360375;Under Siege (1992);1992;6.4 ;1992-10-09
2767229;Johnny (2003);2003;5.1 ;2003-04-24
3002146;Panjaa (2011);2011;6.6 ;2011-12-09
3119242;Shaka (1961);1961;6.6 ;1963-07-02
3433130;Zoku Zatôichi monogatari (1962);1962;7.4 ;1979-10-16
2399132;Batman (1989);1989;7.6 ;1989-06-23
2417930;Birdman: Or (The Unexpected Virtue of Ignorance) (2014);2014;7.9 ;2014-11-14
2930194;Mr. Mom (1983);1983;6.4 ;1983-08-19
2995733;Out of Sight (1998);1998;7.1 ;1998-06-26
3230307;The Dream Team (1989);1989;6.4 ;1989-04-07
3071791;Revenge of the Ninja (1983);1983;6.0 ;1983-09-16
2520055;De Dana Dan (2009);2009;4.9 ;2009-11-27
2900817;Mean Guns (1997);1997;5.8 ;1997-11-21
3006715;Paroles et musique (1984);1984;5.2 ;1986-07-21
2390390;Bad Boys (1995);1995;6.8 ;1995-04-07
2989226;Open Season (2006);2006;6.2 ;2006-09-29
3188546;Talkin' Dirty After Dark (1991);1991;5.0 ;1991-08-16
3419456;Xiong zhong (1982);1982;5.1 ;1982-09-01
2905637;Meng long guo jiang (1972);1972;7.3 ;1972-08-14
2341805;Airport '77 (1977);1977;5.5 ;1977-03-11
2344668;Albino (1976);1976;5.5 ;1978-02-01
2411045;Beyond Mombasa (1956);1956;6.0 ;1957-06-01
2597246;Ercole al centro della Terra (1961);1961;6.4 ;1964-04-01
3070796;Return from Witch Mountain (1978);1978;5.9 ;1978-03-10
3102179;Scars of Dracula (1970);1970;6.2 ;1970-12-23
3105367;Scream and Scream Again (1970);1970;5.7 ;1970-02-13
3218316;The Castle of Fu Manchu (1969);1969;2.6 ;1972-01-01
3262083;The Lord of the Rings: The Return of the King (2003);2003;8.  ;2003-12-17
3289165;The Rosebud Beach Hotel (1984);1984;4.2 ;1984-11-01
3299600;The Stupids (1996);1996;4.1 ;1996-08-30
3311986;The Wicker Man (1973);1973;7.7 ;1975-06-01
3371981;Valley of Eagles (1951);1951;5.9 ;1952-04-25
2507811;Da chu tou (1979);1979;6.6 ;1981-10-01
2850801;Lethal Weapon 4 (1998);1998;6.6 ;1998-07-10
2326099;A View to a Kill (1985);1985;6.3 ;1985-05-24
3127307;Showdown in Little Tokyo (1991);1991;6.0 ;1991-08-23
2326099;A View to a Kill (1985);1985;6.3 ;1985-05-24
2461701;Cats & Dogs: The Revenge of Kitty Galore (2010);2010;4.3 ;2010-07-30
2599095;Escape to Athena (1979);1979;5.6 ;1979-06-06
2410524;Beverly Hills Cop (1984);1984;7.3 ;1984-12-05
2410530;Beverly Hills Cop III (1994);1994;5.5 ;1994-05-25
2488141;Coming to America (1988);1988;6.9 ;1988-06-29
2508468;Daddy Day Care (2003);2003;5.5 ;2003-05-09
2559069;Donkey's Christmas Shrektacular (2010);2010;5.3 ;2010-12-07
2563030;Dr. Dolittle 2 (2001);2001;4.6 ;2001-06-22
2932320;Mulan (1998);1998;7.5 ;1998-06-19
3242494;The Golden Child (1986);1986;5.8 ;1986-12-12
2601414;Ethan Frome (1993);1993;6.3 ;1993-03-12
2774828;K-19: The Widowmaker (2002);2002;6.6 ;2002-07-19
2844861;Les Misérables (1998);1998;7.5 ;1998-05-01
3187394;Taken 3 (2014);2014;6.1 ;2015-01-09
3244908;The Grey (2011);2011;6.8 ;2012-01-27
3344801;Trumbo (2007);2007;7.5 ;2008-06-27
3363779;Unknown (2011/I);2011;6.9 ;2011-02-18
2313279;A Force of One (1979);1979;5.0 ;1979-06-01
2555168;Dodgeball: A True Underdog Story (2004);2004;6.7 ;2004-06-18
2863408;Lone Wolf McQuade (1983);1983;6.3 ;1983-04-15
2905637;Meng long guo jiang (1972);1972;7.3 ;1972-08-14
3248143;The Hitman (1991);1991;5.2 ;1991-10-25
3299532;The Student Teachers (1973);1973;5.2 ;1973-05-31
2380910;Ator 2 - L'invincibile Orion (1984);1984;2.2 ;1984-02-15
2523069;Dead Tides (1997);1997;4.8 ;1997-08-19
2750292;Iron Warrior (1987);1987;2.2 ;1987-01-09
3394046;Waxwork (1988);1988;6.2 ;1988-06-17
2407536;Bent (1997);1997;7.3 ;1997-11-26
2472407;Children of Men (2006);2006;7.9 ;2007-01-05
3214278;The Bourne Identity (2002);2002;7.9 ;2002-06-14
3251728;The International (2009/I);2009;6.5 ;2009-02-13
2354727;American Dreamz (2006);2006;5.5 ;2006-04-21
2368402;Any Given Sunday (1999);1999;6.8 ;1999-12-22
2436923;Breaking Away (1979);1979;7.7 ;1979-07-20
2462386;Caveman (1981);1981;5.7 ;1981-04-17
2667344;Gorp (1980);1980;3.6 ;1980-05-01
3001879;Pandorum (2009);2009;6.8 ;2009-09-25
3113464;September 30, 1955 (1977);1977;6.5 ;1978-01-06
3226130;The Day After Tomorrow (2004);2004;6.4 ;2004-05-28
2563462;Dracula (1992);1992;7.5 ;1992-11-13
2616934;Feeling Minnesota (1996);1996;5.4 ;1996-09-13
2939092;My Own Private Idaho (1991);1991;7.1 ;1991-09-29
3005853;Parenthood (1989);1989;7.0 ;1989-08-02
3180696;Sweet November (2001);2001;6.7 ;2001-02-16
3267567;The Matrix Revolutions (2003);2003;6.7 ;2003-11-05
2431421;Boogie Nights (1997);1997;7.9 ;1997-10-31
2437030;Breaking In (1989);1989;6.1 ;1989-10-13
2528072;Delgo (2008);2008;4.4 ;2008-12-12
2633009;Forget About It (2006);2006;4.3 ;2006-10-14
2910301;Mickey's 50 (1978);1978;8.0 ;1978-11-19
2940849;Mystery, Alaska (1999);1999;6.6 ;1999-10-01
3094691;Sam Whiskey (1969);1969;5.9 ;1969-04-01
3141080;Smokey and the Bandit II (1980);1980;5.1 ;1980-08-15
3223945;The Crew (2000);2000;5.6 ;2000-08-25
3230848;The Dukes of Hazzard (2005);2005;5.0 ;2005-08-05
3236372;The Final Season (1988);1988;9.0 ;1988-01-01
3368063;Uphill All the Way (1986);1986;3.9 ;1986-01-01
2409531;Betrayal (2013/II);2013;3.9 ;2014-01-01
2471417;Chicks Dig Gay Guys (2014);2014;3.8 ;2014-01-01
2523477;Deadline (2012/I);2012;4.8 ;2012-04-13
2612357;Family on Board (2014);2014;8.6 ;2014-01-01
2621745;Final Analysis (1992);1992;5.8 ;1992-02-07
2788345;Killer Weekend (2004);2004;3.6 ;2004-02-10
3166176;Story of Eva (2015);2015;4.1 ;2015-01-13
3228156;The Devil's Dozen (2013);2013;3.4 ;2013-02-01
3281092;The Pope of Greenwich Village (1984);1984;6.7 ;1984-06-22
2351145;Alpha Dog (2006);2006;6.9 ;2007-01-12
2415197;Big Trouble in Little China (1986);1986;7.3 ;1986-07-02
2456513;Captain Ron (1992);1992;5.6 ;1992-09-18
2605384;Executive Decision (1996);1996;6.4 ;1996-03-15
2644469;Furious Seven (2015);2015;7.5 ;2015-04-03
3137253;Sky High (2005);2005;6.2 ;2005-07-29
3208612;The Barefoot Executive (1971);1971;5.9 ;1971-03-17
2399128;Batman & Robin (1997);1997;3.6 ;1997-06-20
2563030;Dr. Dolittle 2 (2001);2001;4.6 ;2001-06-22
2595167;Enron: The Smartest Guys in the Room (2005);2005;7.7 ;2005-05-20
2654179;Gerrymandering (2010);2010;7.2 ;2010-10-15
3090938;Sabotage (2014);2014;5.7 ;2014-03-28
3102295;Scavenger Hunt (1979);1979;6.0 ;1979-12-21
3202375;The 6th Day (2000);2000;5.9 ;2000-11-17
2332150;Above the Law (1988);1988;5.9 ;1988-04-22
2605384;Executive Decision (1996);1996;6.4 ;1996-03-15
2605881;Exit Wounds (2001);2001;5.5 ;2001-03-16
2679225;Half Past Dead (2002);2002;4.5 ;2002-11-15
3360375;Under Siege (1992);1992;6.4 ;1992-10-09
2433414;Botschaft der Götter (1976);1976;5.8 ;1977-03-01
2555168;Dodgeball: A True Underdog Story (2004);2004;6.7 ;2004-06-18
2741449;Incubus (1966);1966;6.1 ;1966-10-26
2916342;Miss Congeniality 2: Armed and Fabulous (2005);2005;4.9 ;2005-03-24
3160246;Star Trek Adventure (1991);1991;7.9 ;1991-01-01
3160269;Star Trek VI: The Undiscovered Country (1991);1991;7.2 ;1991-12-06
3276765;The Outrage (1964);1964;6.3 ;1964-10-08
3361023;Undercover X (2001);2001;7.2 ;2001-08-03
3361023;Undercover X (2001);2001;7.2 ;2001-08-02
3361023;Undercover X (2001);2001;7.2 ;2001-07-07
2369449;Apocalypse Now (1979);1979;8.5 ;1979-08-15
2496815;Courage Mountain (1990);1990;5.7 ;1990-02-16
2577259;Eight Men Out (1988);1988;7.3 ;1988-09-02
3214759;The Boys Next Door (1985);1985;6.5 ;1985-10-01
2390390;Bad Boys (1995);1995;6.8 ;1995-04-07
2629438;Focus (2015);2015;6.6 ;2015-02-27
3115301;Seven Pounds (2008);2008;7.7 ;2008-12-19
3135258;Six Degrees of Separation (1993);1993;6.9 ;1993-12-08
3347259;Tupac: Resurrection (2003);2003;8.0 ;2003-11-14
2772106;Jungle Fever (1991);1991;6.5 ;1991-06-07
2789848;King of New York (1990);1990;7.0 ;1990-09-28
3168511;Streets of Gold (1986);1986;5.9 ;1986-11-14
3361402;Undisputed (2002);2002;6.1 ;2002-08-23
3432151;Zig Zag (2002);2002;6.1 ;2002-07-09
2889223;Mandingo (1975);1975;6.1 ;1975-07-25
3162194;Staying Alive (1983);1983;4.4 ;1983-07-15
3378627;Victory (1981);1981;6.6 ;1981-07-30
2498116;Crank (2006);2006;7.0 ;2006-09-01
2644469;Furious Seven (2015);2015;7.5 ;2015-04-03
3091843;Safe (2012/I);2012;6.5 ;2012-04-27
3157410;Spy (2015);2015;7.3 ;2015-06-05
3304465;The Transporter (2002);2002;6.8 ;2002-10-11
3339050;Transporter 2 (2005);2005;6.3 ;2005-09-02
2471312;Chicken Little (2005);2005;5.8 ;2005-11-04
2573062;Earth (2007);2007;8.0 ;2009-04-22
3091889;Safe House (1998);1998;7.1 ;1999-01-24
3160278;Star Trek the Experience: The Klingon Encounter (1998);1998;7.7 ;1998-01-04
3184392;TMNT (2007);2007;6.3 ;2007-03-23
2555168;Dodgeball: A True Underdog Story (2004);2004;6.7 ;2004-06-18
2690583;Heavy Weights (1995);1995;6.6 ;1995-02-17
2902559;Megamind (2010);2010;7.3 ;2010-11-05
2957834;Night at the Museum: Battle of the Smithsonian (2009);2009;5.9 ;2009-05-22
3161269;Starsky & Hutch (2004);2004;6.1 ;2004-03-05
3223442;The Cove: My Friend is... (2010);2010;8.7 ;2010-04-22
3247079;The Heartbreak Kid (2007);2007;5.8 ;2007-10-05
3426832;Your Friends & Neighbors (1998);1998;6.4 ;1998-08-21
2426152;Blow Out (1981);1981;7.4 ;1981-07-24
2825676;Ladder 49 (2004);2004;6.5 ;2004-10-01
2880313;Mad City (1997);1997;6.2 ;1997-11-07
2991568;Orientation: A Scientology Information Film (1996);1996;1.5 ;1996-03-13
3014967;Perfect (1985);1985;4.2 ;1985-06-07
3046601;Pulp Fiction (1994);1994;8.  ;1994-10-14
3127048;Shout (1991);1991;4.9 ;1991-10-04
3162194;Staying Alive (1983);1983;4.4 ;1983-07-15
3405067;White Man's Burden (1995);1995;5.2 ;1995-12-01
2496354;Counterpunch (2013);2013;5.0 ;2013-01-15
2522260;Dead Badge (1994);1994;5.2 ;1994-01-01
2674951;Guns (1990);1990;3.5 ;1990-11-09
2690011;Heat (1995);1995;8.3 ;1995-12-15
2708990;Hope Lost (2015);2015;4.0 ;2015-02-01
2860933;Living the Dream (2006);2006;4.8 ;2006-01-01
3157446;Spy Kids: All the Time in the World in 4D (2011);2011;3.6 ;2011-08-19
3322273;Through the Valley (2008/I);2008;4.5 ;2008-01-01
2436885;Breakin' (1984);1984;5.6 ;1984-05-04
2786667;Kickboxer (1989);1989;6.3 ;1989-09-08
2332214;Abraham Lincoln: Vampire Hunter Sequels (2012);2012;7.1 ;2012-06-21
3009985;Patient Killer (2015);2015;6.3 ;2015-01-13
3054736;Race for the Yankee Zephyr (1981);1981;5.7 ;1984-04-01
3295925;The Soldier (1982);1982;5.1 ;1982-06-01
3309874;The Wanderers (1979);1979;7.5 ;1979-07-04
2431421;Boogie Nights (1997);1997;7.9 ;1997-10-31
2721329;I Heart Huckabees (2004);2004;6.8 ;2004-10-22
2898789;Max Payne (2008);2008;5.4 ;2008-10-17
3222993;The Corruptor (1999);1999;6.0 ;1999-03-12
3239666;The Gambler (2014/III);2014;6.1 ;2014-12-25
2439943;Brokedown Palace (1999);1999;6.4 ;1999-08-13
2644469;Furious Seven (2015);2015;7.5 ;2015-04-03
2902118;Meet the Deedles (1998);1998;3.9 ;1998-03-27
3119821;Shan dong lao niang (1973);1973;6.7 ;1974-06-01
2354832;American Gangster (2007);2007;7.8 ;2007-11-02
3281701;The Preacher's Wife (1996);1996;5.4 ;1996-12-13
3337951;Training Day (2001);2001;7.7 ;2001-10-05
2298297;1990: I guerrieri del Bronx (1982);1982;5.3 ;1983-04-22
2423697;Blind Rage (1978);1978;3.8 ;1978-04-01
2566984;Dropping Evil (2012);2012;4.4 ;2012-01-01
3161269;Starsky & Hutch (2004);2004;6.1 ;2004-03-05
3392086;Warrior of the Lost World (1983);1983;2.2 ;1985-09-01
3401087;Whatever It Takes (1998/II);1998;4.3 ;1998-11-13
2351145;Alpha Dog (2006);2006;6.9 ;2007-01-12
2416552;Billy Bathgate (1991);1991;5.9 ;1991-11-01
2423435;Blind Date (1987);1987;5.8 ;1987-03-27
2493698;Cop Out (2010);2010;5.7 ;2010-02-26
2543830;Die Hard: With a Vengeance (1995);1995;7.6 ;1995-05-19
2865116;Looper (2012);2012;7.5 ;2012-09-28
3046601;Pulp Fiction (1994);1994;8.  ;1994-10-14
3256279;The Last Boy Scout (1991);1991;6.9 ;1991-12-13
3294922;The Sixth Sense (1999);1999;8.2 ;1999-08-06
3399853;What Just Happened (2008);2008;5.7 ;2008-10-31
3401087;Whatever It Takes (1998/II);1998;4.3 ;1998-11-13
2651864;Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan (1999);1999;5.8 ;2000-07-21
2651864;Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan (1999);1999;5.8 ;2000-07-21
2915124;Mirage (2012/II);2012;6.8 ;2012-09-01
2888873;Manam (2014/I);2014;8.3 ;2014-05-22
3187766;Takkari Donga (2002);2002;6.9 ;2002-01-18
2455855;Cape Fear (1991);1991;7.3 ;1991-11-15
2772314;Junior Bonner (1972);1972;6.8 ;1972-08-02
2894515;Mars Attacks! (1996);1996;6.3 ;1996-12-13
